   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 :0(hash)
     7173    0.062    0.000    0.078    0.000 :0(heappush)
       15    0.000    0.000    0.000    0.000 :0(id)
        2    0.000    0.000    0.000    0.000 :0(implement_array_function)
        4    0.250    0.062    0.250    0.062 :0(init)
       16    0.000    0.000    0.000    0.000 :0(insert)
      140    0.000    0.000    0.000    0.000 :0(intern)
      104    0.000    0.000    0.000    0.000 :0(is_builtin)
      280    0.000    0.000    0.000    0.000 :0(is_frozen)
        5    0.000    0.000    0.000    0.000 :0(isalnum)
      177    0.000    0.000    0.000    0.000 :0(isidentifier)
    19211    0.062    0.000    0.062    0.000 :0(isinstance)
      595    0.016    0.000    0.016    0.000 :0(issubclass)
      814    0.000    0.000    0.000    0.000 :0(isupper)
      176    0.000    0.000    0.000    0.000 :0(items)
     4741    0.016    0.000    0.016    0.000 :0(iter)
3661/3657    0.016    0.000    0.016    0.000 :0(join)
        3    0.000    0.000    0.000    0.000 :0(keys)
201452/200340    0.312    0.000    0.312    0.000 :0(len)
      124    0.031    0.000    0.031    0.000 :0(listdir)
       21    0.016    0.001    0.016    0.001 :0(load_extended)
      208    0.016    0.000    0.016    0.000 :0(loads)
        1    0.000    0.000    0.000    0.000 :0(locals)
        2    0.000    0.000    0.000    0.000 :0(log)
     2348    0.016    0.000    0.016    0.000 :0(lower)
       96    0.000    0.000    0.000    0.000 :0(lstrip)
        2    0.000    0.000    0.000    0.000 :0(maketrans)
      217    0.000    0.000    0.000    0.000 :0(match)
      372    0.000    0.000    0.000    0.000 :0(max)
     5611    0.078    0.000    0.250    0.000 :0(min)
       11    0.000    0.000    0.000    0.000 :0(mro)
       28    0.000    0.000    0.000    0.000 :0(next)
       16    0.000    0.000    0.000    0.000 :0(open)
      208    0.016    0.000    0.016    0.000 :0(open_code)
        1    0.000    0.000    0.000    0.000 :0(openssl_md5)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha1)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha224)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha256)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha384)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha512)
     1929    0.016    0.000    0.016    0.000 :0(ord)
      404    0.000    0.000    0.000    0.000 :0(partition)
      501    0.000    0.000    0.000    0.000 :0(pop)
        7    0.000    0.000    0.000    0.000 :0(print)
      155    0.000    0.000    0.000    0.000 :0(pump)
        5    0.000    0.000    0.000    0.000 :0(putenv)
        1    0.000    0.000    0.000    0.000 :0(quit)
        3    0.000    0.000    0.000    0.000 :0(radians)
      350    0.016    0.000    0.016    0.000 :0(read)
        2    0.000    0.000    0.000    0.000 :0(readline)
        1    0.000    0.000    0.000    0.000 :0(readlines)
        1    0.000    0.000    0.000    0.000 :0(readlink)
      154    0.000    0.000    0.000    0.000 :0(rect)
        2    0.000    0.000    0.000    0.000 :0(register_adapter)
        2    0.000    0.000    0.000    0.000 :0(register_converter)
        3    0.000    0.000    0.000    0.000 :0(register_dialect)
     1933    0.000    0.000    0.000    0.000 :0(release_lock)
     4969    0.031    0.000    0.031    0.000 :0(remove)
      155    0.016    0.000    0.016    0.000 :0(render)
     1809    0.000    0.000    0.000    0.000 :0(replace)
      106    0.000    0.000    0.000    0.000 :0(repr)
      202    0.000    0.000    0.000    0.000 :0(reverse)
      480    0.000    0.000    0.000    0.000 :0(rfind)
      935    0.016    0.000    0.016    0.000 :0(rotate)
      628    0.000    0.000    0.000    0.000 :0(round)
     1862    0.016    0.000    0.016    0.000 :0(rpartition)
      422    0.000    0.000    0.000    0.000 :0(rsplit)
     5985    0.016    0.000    0.016    0.000 :0(rstrip)
       24    0.000    0.000    0.000    0.000 :0(scale)
        1    0.000    0.000    0.000    0.000 :0(scandir)
      339    0.000    0.000    0.000    0.000 :0(search)
        1    0.000    0.000    0.000    0.000 :0(seed)
        9    0.000    0.000    0.000    0.000 :0(seek)
        1    0.000    0.000    0.000    0.000 :0(set_caption)
        1    0.016    0.016    0.859    0.859 :0(set_mode)
        2    0.000    0.000    0.000    0.000 :0(set_string_function)
        1    0.000    0.000    0.000    0.000 :0(set_typeDict)
        1    0.000    0.000    0.000    0.000 :0(set_visible)
     2142    0.000    0.000    0.000    0.000 :0(setattr)
      207    0.000    0.000    0.000    0.000 :0(setdefault)
        9    0.000    0.000    0.000    0.000 :0(seterrobj)
        1    0.016    0.016    0.016    0.016 :0(setprofile)
       16    0.000    0.000    0.000    0.000 :0(setter)
      622    0.000    0.000    0.000    0.000 :0(sin)
       38    0.000    0.000    0.000    0.000 :0(sizeof)
        6    0.000    0.000    0.000    0.000 :0(sort)
       22    0.000    0.000    0.062    0.003 :0(sorted)
